[zone]|en|fi|pt|ru|zh|ja|ko|de
Act_1_Pregame|River of Inoya|Inoyan Joki|Rio de Inoya|Река Иноя|以诺亚之河|イノヤ川|이노야의 강|Fluss von Inoya
Act_1_1|Outskirts of Inoya|Inoyan laidalla|Periferia de Inoya|Окраины Инои|伊诺亚郊区/红宝石|イノヤの郊外|미노야 변두리|Außenbezirke von Inoya
Act_1_2|Fields of Battle|Taistelutanner|Campos de batalha|Поле Битвы|战场之地|バトルのフィールド|전장|Schlachtfelder
Act_1_3|The Pumpkin Patch|Kurpitsapelto|O remendo da abóbora|Тыквенное Поле|南瓜地/紫箱子|パンプキン・パッチ（かぼちゃ畑）|호박밭|Der Kürbis Aufnäher
Act_1_4|Dark Woods|Pimeä Metsä|Floresta Negra|Темный Лес|黑暗森林/符文|暗い森|어두운 숲|Dunkler Wald
Act_1_5|King's Garden|Kuninkaan puutarha|Jardim do rei|Королевский Сад|国王的花园|キングのガーデン|왕실 정원|Königsgarten
||||||||
Act_2_1|Crystal Village|Kristallikylä|Vila de Crystal|Кристальная Деревня|水晶村庄/红宝石|クリスタル・ビレッジ|크리스탈 마을|Kristalldorf
Act_2_2|Chilling Lake|Hyytävä järvi|Lago frio|Замерзшее Озеро|寒冷之湖|チリング・レーク（寒冷の湖）|얼어붙은 호수|Kühlender See
Act_2_3|Arctic Tundra|Arktinen tundra|Tundra ártica|Арктическая Тундра|北极冻土圈|北極ツンドラ|북극 툰드라|Arktische Tundra
Act_2_4|Snowy Mountains|Lumivuoret|Montanhas nevadas|Снежные Горы|雪山|雪山|설산|Verschneite Berge
Act_2_5|The Glacial Trail|Jäätikön Polku|Trilha Glacial|Ледниковая тропа|冰川足迹/钥匙|氷河トレイル|빙하 흔적|Gletscherweg
||||||||
Act_3_1|Mos'Arathim Village|Mos'Arathim kylä|Vila de Mos'Arathim|Деревня Мос'Арасим|莫斯阿斯玛村庄|モスアスマ村落|모스'아라팀 마을|Mos'Arathim Dorf
Act_3_2|Dry Hills|Kuivat kukkulat|Colinas de Dry|Сухие Холмы|干燥丘陵/羊头|ドライ・ヒルズ|메마른 언덕|Trockene Hügel
Act_3_3|Mos'Arathim Desert|Mos'Arathim aavikko|Deserto de Mos'Arathim|Пустыня Мос'Арасим|莫斯阿斯玛沙漠/令牌和钥匙|モスアスマ砂漠|모스'아라팀 사막|Mos'Arathim-Wüste
